
For lr 0.00000500 ,rs 10000000.0000 and bs 300.000000 Train Accuracy 0.0507 and Validation Accuracy 0.0510
For lr 0.00000500 ,rs 10000000.0000 and bs 600.000000 Train Accuracy 0.1153 and Validation Accuracy 0.1145
For lr 0.00000500 ,rs 10000000.0000 and bs 1000.000000 Train Accuracy 0.1705 and Validation Accuracy 0.1625
For lr 0.00000500 ,rs 0.1000 and bs 32.000000 Train Accuracy 0.2714 and Validation Accuracy 0.2750
For lr 0.00000500 ,rs 0.1000 and bs 64.000000 Train Accuracy 0.2916 and Validation Accuracy 0.2980
For lr 0.00000500 ,rs 0.1000 and bs 128.000000 Train Accuracy 0.3131 and Validation Accuracy 0.3165
For lr 0.00000500 ,rs 0.1000 and bs 150.000000 Train Accuracy 0.3181 and Validation Accuracy 0.3205
For lr 0.00000500 ,rs 0.1000 and bs 300.000000 Train Accuracy 0.3428 and Validation Accuracy 0.3440
For lr 0.00000500 ,rs 0.1000 and bs 600.000000 Train Accuracy 0.3601 and Validation Accuracy 0.3565
For lr 0.00000500 ,rs 0.1000 and bs 1000.000000 Train Accuracy 0.3526 and Validation Accuracy 0.3385
For lr 0.00000500 ,rs 0.0100 and bs 32.000000 Train Accuracy 0.2717 and Validation Accuracy 0.2745
For lr 0.00000500 ,rs 0.0100 and bs 64.000000 Train Accuracy 0.2916 and Validation Accuracy 0.3005
For lr 0.00000500 ,rs 0.0100 and bs 128.000000 Train Accuracy 0.3131 and Validation Accuracy 0.3150
For lr 0.00000500 ,rs 0.0100 and bs 150.000000 Train Accuracy 0.3176 and Validation Accuracy 0.3215
For lr 0.00000500 ,rs 0.0100 and bs 300.000000 Train Accuracy 0.3428 and Validation Accuracy 0.3435
For lr 0.00000500 ,rs 0.0100 and bs 600.000000 Train Accuracy 0.3602 and Validation Accuracy 0.3565
For lr 0.00000500 ,rs 0.0100 and bs 1000.000000 Train Accuracy 0.3524 and Validation Accuracy 0.3390
For lr 0.00000500 ,rs 0.0010 and bs 32.000000 Train Accuracy 0.2714 and Validation Accuracy 0.2780
For lr 0.00000500 ,rs 0.0010 and bs 64.000000 Train Accuracy 0.2915 and Validation Accuracy 0.2965
For lr 0.00000500 ,rs 0.0010 and bs 128.000000 Train Accuracy 0.3135 and Validation Accuracy 0.3145
For lr 0.00000500 ,rs 0.0010 and bs 150.000000 Train Accuracy 0.3177 and Validation Accuracy 0.3205
For lr 0.00000500 ,rs 0.0010 and bs 300.000000 Train Accuracy 0.3429 and Validation Accuracy 0.3450
