
Here are test results on Softmax Classifier

For lr 0.00000080 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3808 and Validation Accuracy 0.3135
For lr 0.00000080 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3869 and Validation Accuracy 0.3270
For lr 0.00000006 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3304 and Validation Accuracy 0.2080
For lr 0.00000006 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3549 and Validation Accuracy 0.2415
For lr 0.00000006 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3759 and Validation Accuracy 0.3030
For lr 0.00000006 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3816 and Validation Accuracy 0.3105
For lr 0.00000006 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3969 and Validation Accuracy 0.3095
For lr 0.00000006 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.4064 and Validation Accuracy 0.3190
For lr 0.00000006 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.4088 and Validation Accuracy 0.3275
For lr 0.00000900 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3149 and Validation Accuracy 0.2520
For lr 0.00000900 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3281 and Validation Accuracy 0.2835
For lr 0.00000900 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3509 and Validation Accuracy 0.3160
For lr 0.00000900 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3540 and Validation Accuracy 0.3095
For lr 0.00000900 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3693 and Validation Accuracy 0.3070
For lr 0.00000900 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3804 and Validation Accuracy 0.3345
For lr 0.00000900 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3857 and Validation Accuracy 0.3245
For lr 0.00004000 ,rs 100.0000 and bs 32.000000 Train Accuracy 0.3183 and Validation Accuracy 0.2710
For lr 0.00004000 ,rs 100.0000 and bs 64.000000 Train Accuracy 0.3306 and Validation Accuracy 0.2795
For lr 0.00004000 ,rs 100.0000 and bs 128.000000 Train Accuracy 0.3508 and Validation Accuracy 0.3105
For lr 0.00004000 ,rs 100.0000 and bs 150.000000 Train Accuracy 0.3502 and Validation Accuracy 0.3090
For lr 0.00004000 ,rs 100.0000 and bs 300.000000 Train Accuracy 0.3687 and Validation Accuracy 0.3130
For lr 0.00004000 ,rs 100.0000 and bs 600.000000 Train Accuracy 0.3798 and Validation Accuracy 0.3235
For lr 0.00004000 ,rs 100.0000 and bs 1000.000000 Train Accuracy 0.3859 and Validation Accuracy 0.3165
For lr 0.00000300 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3185 and Validation Accuracy 0.2660
For lr 0.00000300 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3277 and Validation Accuracy 0.2855
For lr 0.00000300 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3508 and Validation Accuracy 0.2960
For lr 0.00000300 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3536 and Validation Accuracy 0.3085
For lr 0.00000300 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3686 and Validation Accuracy 0.3120
For lr 0.00000300 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3796 and Validation Accuracy 0.3265
For lr 0.00000300 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3874 and Validation Accuracy 0.3200
For lr 0.00000020 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3537 and Validation Accuracy 0.2775
For lr 0.00000020 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3682 and Validation Accuracy 0.2865
For lr 0.00000020 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3861 and Validation Accuracy 0.3245
For lr 0.00000020 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3899 and Validation Accuracy 0.3250
For lr 0.00000020 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3914 and Validation Accuracy 0.3265
For lr 0.00000020 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3967 and Validation Accuracy 0.3295
For lr 0.00000020 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3936 and Validation Accuracy 0.3160
For lr 0.00000080 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3370 and Validation Accuracy 0.2765
For lr 0.00000080 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3479 and Validation Accuracy 0.2990
For lr 0.00000080 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3651 and Validation Accuracy 0.3130
For lr 0.00000080 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3624 and Validation Accuracy 0.3020
For lr 0.00000080 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3754 and Validation Accuracy 0.3150
For lr 0.00000080 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3838 and Validation Accuracy 0.3215
For lr 0.00000080 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3880 and Validation Accuracy 0.3150
For lr 0.00000006 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3251 and Validation Accuracy 0.2090
For lr 0.00000006 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3541 and Validation Accuracy 0.2380
For lr 0.00000006 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3786 and Validation Accuracy 0.3045
For lr 0.00000006 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3782 and Validation Accuracy 0.3050
For lr 0.00000006 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3976 and Validation Accuracy 0.3110
For lr 0.00000006 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.4062 and Validation Accuracy 0.3170
For lr 0.00000006 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.4120 and Validation Accuracy 0.3250
For lr 0.00000900 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3169 and Validation Accuracy 0.2560
For lr 0.00000900 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3291 and Validation Accuracy 0.2865
For lr 0.00000900 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3519 and Validation Accuracy 0.3020
For lr 0.00000900 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3552 and Validation Accuracy 0.2965
For lr 0.00000900 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3677 and Validation Accuracy 0.3175
For lr 0.00000900 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3813 and Validation Accuracy 0.3175
For lr 0.00000900 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3856 and Validation Accuracy 0.3200
For lr 0.00004000 ,rs 1000.0000 and bs 32.000000 Train Accuracy 0.3195 and Validation Accuracy 0.2570
For lr 0.00004000 ,rs 1000.0000 and bs 64.000000 Train Accuracy 0.3348 and Validation Accuracy 0.2930
For lr 0.00004000 ,rs 1000.0000 and bs 128.000000 Train Accuracy 0.3577 and Validation Accuracy 0.3215
For lr 0.00004000 ,rs 1000.0000 and bs 150.000000 Train Accuracy 0.3563 and Validation Accuracy 0.3140
For lr 0.00004000 ,rs 1000.0000 and bs 300.000000 Train Accuracy 0.3725 and Validation Accuracy 0.3155
For lr 0.00004000 ,rs 1000.0000 and bs 600.000000 Train Accuracy 0.3816 and Validation Accuracy 0.3295
For lr 0.00004000 ,rs 1000.0000 and bs 1000.000000 Train Accuracy 0.3880 and Validation Accuracy 0.3330
For lr 0.00000300 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.3269 and Validation Accuracy 0.2655
For lr 0.00000300 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.3384 and Validation Accuracy 0.2985
For lr 0.00000300 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3589 and Validation Accuracy 0.3030
For lr 0.00000300 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3579 and Validation Accuracy 0.3020
For lr 0.00000300 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3769 and Validation Accuracy 0.3210
For lr 0.00000300 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.3837 and Validation Accuracy 0.3175
For lr 0.00000300 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.3866 and Validation Accuracy 0.3170
For lr 0.00000020 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.3553 and Validation Accuracy 0.2620
For lr 0.00000020 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.3683 and Validation Accuracy 0.2805
For lr 0.00000020 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3848 and Validation Accuracy 0.3190
For lr 0.00000020 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3881 and Validation Accuracy 0.3165
For lr 0.00000020 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3962 and Validation Accuracy 0.3290
For lr 0.00000020 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.3944 and Validation Accuracy 0.3270
For lr 0.00000020 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.3926 and Validation Accuracy 0.3265
For lr 0.00000080 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.3378 and Validation Accuracy 0.2680
For lr 0.00000080 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.3494 and Validation Accuracy 0.2995
For lr 0.00000080 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3686 and Validation Accuracy 0.3085
For lr 0.00000080 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3654 and Validation Accuracy 0.3110
For lr 0.00000080 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3752 and Validation Accuracy 0.3220
For lr 0.00000080 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.3860 and Validation Accuracy 0.3275
For lr 0.00000080 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.3896 and Validation Accuracy 0.3195
For lr 0.00000006 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.3255 and Validation Accuracy 0.2205
For lr 0.00000006 ,rs 10000.0000 and bs 64.000000 Train Accuracy 0.3552 and Validation Accuracy 0.2415
For lr 0.00000006 ,rs 10000.0000 and bs 128.000000 Train Accuracy 0.3752 and Validation Accuracy 0.3075
For lr 0.00000006 ,rs 10000.0000 and bs 150.000000 Train Accuracy 0.3801 and Validation Accuracy 0.3135
For lr 0.00000006 ,rs 10000.0000 and bs 300.000000 Train Accuracy 0.3969 and Validation Accuracy 0.3045
For lr 0.00000006 ,rs 10000.0000 and bs 600.000000 Train Accuracy 0.4041 and Validation Accuracy 0.3175
For lr 0.00000006 ,rs 10000.0000 and bs 1000.000000 Train Accuracy 0.4092 and Validation Accuracy 0.3175
For lr 0.00000900 ,rs 10000.0000 and bs 32.000000 Train Accuracy 0.3243 and Validation Accuracy 0.2665
